country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014
AD,2000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
AE,2000,2.0,4.0,4.0,6.0,5.0,12.0,10.0,,3.0
AF,2000,52.0,228.0,183.0,149.0,129.0,94.0,80.0,,93.0
AG,2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0
AL,2000,2.0,19.0,21.0,14.0,24.0,19.0,16.0,,3.0
AM,2000,2.0,152.0,130.0,131.0,63.0,26.0,21.0,,1.0
AN,2000,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0
AO,2000,186.0,999.0,1003.0,912.0,482.0,312.0,194.0,,247.0
AR,2000,97.0,278.0,594.0,402.0,419.0,368.0,330.0,,121.0
AS,2000,,,,,1.0,1.0,,,
AT,2000,1.0,17.0,30.0,59.0,42.0,23.0,41.0,,1.0
AU,2000,3.0,16.0,35.0,25.0,24.0,19.0,49.0,,0.0
AZ,2000,0.0,9.0,24.0,33.0,42.0,30.0,0.0,,0.0
BA,2000,4.0,56.0,82.0,99.0,66.0,58.0,77.0,,4.0
BB,2000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0
BD,2000,256.0,3640.0,5643.0,5750.0,4718.0,3667.0,2837.0,,495.0
BE,2000,3.0,20.0,57.0,39.0,55.0,32.0,56.0,,6.0
BF,2000,12.0,91.0,274.0,252.0,133.0,68.0,65.0,,7.0
BG,2000,0.0,13.0,16.0,20.0,3.0,9.0,10.0,,0.0
BH,2000,0.0,0.0,3.0,2.0,5.0,3.0,4.0,,0.0
BI,2000,,,,,,,,,
BJ,2000,19.0,277.0,428.0,327.0,213.0,103.0,74.0,,36.0
BM,2000,,,,,,,,,
BN,2000,0.0,6.0,4.0,15.0,5.0,7.0,15.0,,0.0
BO,2000,166.0,1182.0,797.0,518.0,466.0,340.0,366.0,,191.0
BR,2000,1894.0,7268.0,11568.0,11906.0,8623.0,5085.0,4494.0,,1859.0
BS,2000,1.0,2.0,7.0,9.0,4.0,3.0,2.0,,2.0
BT,2000,6.0,65.0,41.0,30.0,24.0,12.0,2.0,,7.0
BW,2000,25.0,185.0,605.0,488.0,267.0,135.0,96.0,,37.0
BY,2000,,,,,,,,,
BZ,2000,2.0,5.0,7.0,2.0,6.0,3.0,5.0,,0.0
CA,2000,5.0,34.0,45.0,46.0,41.0,32.0,79.0,,4.0
CD,2000,485.0,4048.0,5833.0,4151.0,2549.0,1295.0,602.0,,718.0
CF,2000,,,,,,,,,
CG,2000,,,,,,,,,
CH,2000,0.0,5.0,18.0,10.0,7.0,5.0,8.0,,1.0
CI,2000,,,,,,,,,
CK,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CL,2000,6.0,81.0,160.0,198.0,150.0,132.0,126.0,,10.0
CM,2000,41.0,518.0,842.0,584.0,284.0,130.0,75.0,,63.0
CN,2000,1131.0,19111.0,29399.0,25206.0,25593.0,21429.0,21771.0,,1420.0
CO,2000,246.0,763.0,1030.0,963.0,743.0,610.0,746.0,,194.0
CR,2000,14.0,31.0,53.0,62.0,39.0,28.0,49.0,,13.0
CU,2000,0.0,71.0,167.0,90.0,74.0,55.0,75.0,,2.0
CV,2000,,,,,,,,,
CY,2000,,,,,,,,,
CZ,2000,0.0,7.0,31.0,52.0,89.0,61.0,59.0,,0.0
DE,2000,,,,,,,,,
DJ,2000,17.0,302.0,347.0,139.0,67.0,60.0,42.0,,12.0
DK,2000,5.0,10.0,20.0,24.0,16.0,11.0,14.0,,5.0
DO,2000,73.0,410.0,481.0,344.0,173.0,125.0,113.0,,65.0
DZ,2000,59.0,927.0,1516.0,610.0,491.0,234.0,299.0,,36.0
EC,2000,,,,,,,,,
EE,2000,0.0,6.0,31.0,53.0,56.0,35.0,15.0,,0.0
EG,2000,21.0,641.0,827.0,667.0,476.0,307.0,158.0,,55.0
ER,2000,9.0,70.0,75.0,57.0,32.0,25.0,20.0,,10.0
ES,2000,,,,,,,,,
ET,2000,915.0,5095.0,5187.0,3082.0,1495.0,610.0,397.0,,1037.0
FI,2000,0.0,3.0,8.0,22.0,19.0,28.0,53.0,,0.0
FJ,2000,0.0,8.0,6.0,13.0,5.0,4.0,2.0,,0.0
FM,2000,0.0,2.0,0.0,1.0,0.0,0.0,1.0,,4.0
FR,2000,10.0,136.0,248.0,247.0,211.0,125.0,244.0,,18.0
GB,2000,8.0,86.0,130.0,96.0,87.0,75.0,138.0,,9.0
GD,2000,,,,,,,,,
GE,2000,4.0,76.0,111.0,113.0,63.0,45.0,28.0,,1.0
GH,2000,73.0,550.0,1266.0,1115.0,811.0,495.0,426.0,,74.0
GN,2000,39.0,551.0,860.0,570.0,282.0,203.0,103.0,,66.0
GR,2000,1.0,10.0,22.0,32.0,24.0,19.0,46.0,,0.0
GT,2000,36.0,220.0,236.0,216.0,177.0,112.0,140.0,,41.0
GU,2000,2.0,1.0,6.0,6.0,9.0,6.0,9.0,,0.0
GW,2000,2.0,52.0,92.0,80.0,64.0,39.0,19.0,,4.0
GY,2000,4.0,20.0,19.0,14.0,7.0,6.0,9.0,,1.0
HK,2000,4.0,78.0,102.0,160.0,211.0,236.0,578.0,,5.0
HN,2000,30.0,123.0,371.0,246.0,277.0,214.0,43.0,,25.0
HR,2000,,,,,,,,,
HT,2000,67.0,836.0,898.0,613.0,350.0,147.0,118.0,,96.0
HU,2000,0.0,8.0,24.0,85.0,104.0,58.0,27.0,,1.0
ID,2000,,,,,,,,,
IE,2000,0.0,10.0,7.0,7.0,6.0,4.0,12.0,,0.0
IL,2000,0.0,16.0,28.0,17.0,24.0,10.0,31.0,,2.0
IN,2000,1588.0,20963.0,31090.0,30829.0,24230.0,15308.0,8534.0,,2250.0
IQ,2000,21.0,627.0,317.0,297.0,205.0,135.0,101.0,,37.0
IR,2000,29.0,438.0,467.0,387.0,295.0,344.0,642.0,,77.0
IS,2000,,,,,,,,,0.0
IT,2000,12.0,63.0,96.0,75.0,58.0,54.0,112.0,,6.0
JM,2000,0.0,6.0,13.0,13.0,15.0,6.0,5.0,,1.0
JO,2000,0.0,8.0,16.0,13.0,9.0,14.0,2.0,,0.0
JP,2000,2.0,246.0,572.0,676.0,1494.0,1509.0,3816.0,,5.0
KE,2000,264.0,3739.0,6653.0,3548.0,1630.0,630.0,414.0,,416.0
KG,2000,4.0,128.0,227.0,205.0,115.0,52.0,46.0,,6.0
KH,2000,26.0,519.0,1323.0,1618.0,1456.0,1373.0,1058.0,,38.0
KI,2000,2.0,9.0,3.0,3.0,3.0,8.0,2.0,,2.0
KM,2000,0.0,18.0,7.0,14.0,9.0,3.0,4.0,,1.0
KN,2000,,,,,,,,,
KP,2000,293.0,928.0,1508.0,2927.0,2519.0,1167.0,651.0,,167.0
KR,2000,19.0,821.0,1085.0,988.0,853.0,731.0,901.0,,25.0
KW,2000,0.0,10.0,44.0,32.0,21.0,11.0,5.0,,1.0
KY,2000,0.0,0.0,3.0,1.0,0.0,1.0,0.0,,
KZ,2000,36.0,1057.0,1409.0,1379.0,923.0,439.0,218.0,,84.0
LA,2000,7.0,92.0,128.0,166.0,201.0,177.0,176.0,,10.0
LB,2000,5.0,16.0,28.0,20.0,15.0,17.0,14.0,,4.0
LC,2000,0.0,0.0,0.0,1.0,0.0,1.0,2.0,,0.0
LK,2000,25.0,266.0,459.0,695.0,793.0,484.0,360.0,,23.0
LR,2000,12.0,133.0,196.0,127.0,52.0,17.0,26.0,,21.0
LS,2000,8.0,165.0,458.0,517.0,395.0,198.0,76.0,,11.0
LT,2000,1.0,38.0,97.0,145.0,155.0,74.0,68.0,,0.0
LU,2000,,,,,,,,,
LV,2000,0.0,53.0,106.0,124.0,111.0,64.0,34.0,,2.0
LY,2000,5.0,101.0,239.0,86.0,36.0,29.0,32.0,,6.0
MA,2000,99.0,2061.0,2423.0,1705.0,855.0,485.0,595.0,,170.0
MC,2000,,,,,,,,,
MD,2000,2.0,52.0,31.0,36.0,13.0,13.0,6.0,,1.0
MG,2000,,,,,,,,,
MH,2000,3.0,5.0,4.0,1.0,3.0,5.0,3.0,,7.0
MK,2000,5.0,8.0,14.0,20.0,19.0,20.0,14.0,,1.0
ML,2000,23.0,206.0,430.0,396.0,297.0,235.0,144.0,,14.0
MM,2000,88.0,1459.0,2636.0,2781.0,2161.0,1235.0,836.0,,72.0
MN,2000,6.0,181.0,260.0,171.0,68.0,38.0,23.0,,32.0
MO,2000,0.0,10.0,8.0,25.0,22.0,9.0,17.0,,0.0
MP,2000,1.0,4.0,8.0,9.0,9.0,3.0,2.0,,0.0
MR,2000,,,,,,,,,
MS,2000,,,,,,,,,
MT,2000,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,
MU,2000,2.0,6.0,9.0,18.0,19.0,14.0,8.0,,1.0
MV,2000,0.0,9.0,10.0,2.0,5.0,5.0,3.0,,0.0
MW,2000,50.0,653.0,1476.0,1113.0,585.0,245.0,114.0,,66.0
MX,2000,214.0,1079.0,1387.0,1162.0,1235.0,972.0,1126.0,,176.0
MY,2000,32.0,694.0,1138.0,1177.0,908.0,814.0,891.0,,41.0
MZ,2000,,,,,,,,,
,2000,18.0,269.0,874.0,665.0,300.0,147.0,81.0,,16.0
NC,2000,1.0,1.0,3.0,4.0,2.0,3.0,4.0,,1.0
NE,2000,29.0,270.0,174.0,441.0,252.0,151.0,78.0,,31.0
NG,2000,157.0,2173.0,3164.0,1836.0,1091.0,566.0,463.0,,239.0
NI,2000,18.0,194.0,174.0,147.0,108.0,64.0,90.0,,34.0
NL,2000,0.0,34.0,63.0,41.0,25.0,10.0,21.0,,4.0
NO,2000,0.0,1.0,9.0,3.0,6.0,2.0,4.0,,1.0
NP,2000,170.0,1904.0,1763.0,1713.0,1491.0,1294.0,772.0,,176.0
NR,2000,,,,,1.0,,,,
NU,2000,,,,,,,,,
NZ,2000,0.0,6.0,5.0,6.0,8.0,10.0,7.0,,1.0
OM,2000,1.0,8.0,9.0,11.0,12.0,9.0,11.0,,2.0
PA,2000,3.0,44.0,78.0,61.0,37.0,27.0,26.0,,6.0
PE,2000,552.0,5290.0,2875.0,1546.0,1041.0,801.0,796.0,,633.0
PF,2000,1.0,3.0,3.0,4.0,4.0,4.0,3.0,,1.0
PG,2000,8.0,87.0,70.0,30.0,21.0,12.0,5.0,,6.0
PH,2000,,,,,,,,,
PK,2000,55.0,498.0,387.0,256.0,232.0,153.0,130.0,,130.0
PL,2000,1.0,99.0,303.0,812.0,782.0,361.0,434.0,,1.0
PR,2000,0.0,1.0,4.0,19.0,9.0,10.0,14.0,,1.0
PS,2000,,,,,,,,,
PT,2000,8.0,147.0,375.0,349.0,208.0,140.0,140.0,,5.0
PY,2000,16.0,112.0,103.0,105.0,86.0,80.0,71.0,,12.0
QA,2000,0.0,7.0,19.0,9.0,7.0,2.0,1.0,,0.0
RO,2000,46.0,832.0,1508.0,1799.0,1684.0,916.0,533.0,,53.0
RU,2000,1.0,295.0,526.0,596.0,402.0,151.0,54.0,,1.0
RW,2000,155.0,466.0,974.0,824.0,393.0,129.0,56.0,,105.0
SA,2000,0.0,131.0,268.0,213.0,158.0,86.0,107.0,,28.0
SB,2000,3.0,13.0,4.0,8.0,8.0,10.0,6.0,,8.0
SC,2000,,,2.0,4.0,1.0,1.0,,,
SD,2000,785.0,1028.0,1511.0,1351.0,1119.0,638.0,677.0,,817.0
SE,2000,0.0,9.0,10.0,12.0,11.0,4.0,25.0,,1.0
SG,2000,1.0,8.0,9.0,34.0,51.0,26.0,64.0,,1.0
SI,2000,0.0,3.0,11.0,36.0,22.0,14.0,17.0,,0.0
SK,2000,2.0,6.0,15.0,31.0,50.0,16.0,32.0,,0.0
SL,2000,18.0,287.0,486.0,361.0,190.0,113.0,47.0,,27.0
SM,2000,,,,,,,1.0,,
SN,2000,60.0,772.0,1297.0,857.0,470.0,279.0,189.0,,77.0
SO,2000,113.0,740.0,724.0,408.0,254.0,195.0,142.0,,85.0
SR,2000,1.0,6.0,6.0,3.0,2.0,0.0,4.0,,2.0
ST,2000,1.0,5.0,11.0,4.0,7.0,3.0,10.0,,3.0
SV,2000,13.0,99.0,124.0,114.0,92.0,62.0,107.0,,28.0
SY,2000,8.0,359.0,289.0,125.0,86.0,76.0,55.0,,23.0
SZ,2000,11.0,130.0,352.0,249.0,138.0,37.0,17.0,,10.0
TC,2000,,,,,,,,,
TG,2000,4.0,101.0,168.0,144.0,109.0,48.0,39.0,,13.0
TH,2000,27.0,859.0,2570.0,2380.0,2117.0,1908.0,2213.0,,32.0
TJ,2000,,,,,,,,,
TK,2000,,,,,,,,,
TM,2000,16.0,103.0,185.0,144.0,127.0,31.0,21.0,,19.0
TN,2000,16.0,139.0,208.0,156.0,109.0,65.0,101.0,,7.0
TO,2000,,2.0,1.0,1.0,,1.0,5.0,,
TR,2000,,,,,,,,,
TT,2000,0.0,7.0,18.0,27.0,17.0,7.0,7.0,,0.0
TV,2000,,,,,,,,,
TZ,2000,200.0,2357.0,4836.0,3430.0,2022.0,1202.0,834.0,,257.0
UA,2000,21.0,693.0,1552.0,2385.0,2007.0,1062.0,532.0,,41.0
UG,2000,283.0,1511.0,3497.0,2479.0,1279.0,607.0,395.0,,400.0
US,2000,6.0,365.0,602.0,906.0,904.0,577.0,738.0,,14.0
UY,2000,0.0,36.0,48.0,45.0,41.0,30.0,34.0,,2.0
UZ,2000,6.0,351.0,749.0,510.0,346.0,213.0,107.0,,11.0
VC,2000,0.0,1.0,0.0,4.0,2.0,0.0,1.0,,1.0
VE,2000,,,,,,,,,
VG,2000,,,,,,1.0,,,
VN,2000,51.0,2367.0,6147.0,8209.0,6713.0,5150.0,7712.0,,64.0
VU,2000,2.0,7.0,5.0,1.0,10.0,5.0,2.0,,5.0
WS,2000,0.0,3.0,1.0,1.0,1.0,2.0,1.0,,0.0
YE,2000,110.0,789.0,689.0,493.0,314.0,255.0,127.0,,161.0
YU,2000,,,,,,,,,
ZA,2000,116.0,723.0,1999.0,2135.0,1146.0,435.0,212.0,,122.0
ZM,2000,349.0,2175.0,2610.0,3045.0,435.0,261.0,174.0,,150.0
ZW,2000,,,,,,,,,
